Age,Salary,Budget,category
57,28,10000,adventure
52,10,2000,pub
53,12,10000,fine dining
47,34,3000,cafe
21,28,3000,pub
58,19,5000,pub
31,29,3000,resort
18,1,500,art
52,12,5000,art
58,48,3000,nature
61,43,500,pub
58,12,500,nature
60,15,3000,cafe
51,45,2000,pub
21,16,10000,cafe
43,12,500,adventure
49,24,2000,fine dining
48,43,2000,adventure
19,1,1000,resort
59,11,500,cafe
44,12,500,cafe
26,34,1000,nature
61,39,2000,cafe
60,29,500,fine dining
21,26,10000,cafe
33,47,3000,cafe
37,27,5000,fine dining
50,18,1000,adventure
29,46,1000,art
38,48,10000,pub
31,28,5000,fine dining
53,15,1000,resort
64,42,1000,nature
20,25,1000,nature
40,40,10000,art
54,43,10000,art
36,39,2000,nature
36,44,3000,resort
42,12,10000,adventure
56,29,10000,cafe
61,35,500,resort
25,27,2000,art
40,47,500,nature
54,13,5000,pub
29,34,10000,resort
36,48,5000,fine dining
60,10,5000,art
62,14,2000,pub
36,11,2000,pub
22,46,1000,resort
20,37,500,adventure
56,37,500,cafe
61,22,5000,cafe
23,10,5000,resort
22,33,10000,cafe
31,34,10000,adventure
54,41,5000,fine dining
63,25,2000,nature
26,39,2000,fine dining
63,33,500,adventure
22,46,2000,art
44,44,10000,cafe
37,36,500,pub
20,35,1000,resort
35,48,10000,resort
52,26,500,pub
18,2,500,pub
20,11,500,nature
21,14,10000,adventure
33,30,10000,cafe
49,27,10000,fine dining
43,29,3000,adventure
57,38,10000,cafe
64,15,2000,nature
60,10,5000,cafe
48,20,500,art
48,45,3000,pub
27,20,5000,art
49,12,3000,art
57,21,500,fine dining
35,11,10000,nature
47,12,3000,pub
60,19,2000,cafe
35,36,2000,cafe
40,40,5000,cafe
21,19,3000,art
42,10,1000,cafe
22,31,2000,cafe
28,12,2000,fine dining
61,15,2000,cafe
21,35,10000,nature
60,49,1000,fine dining
25,40,1000,adventure
25,14,500,nature
25,35,3000,pub
35,21,10000,resort
59,11,500,adventure
26,27,3000,fine dining
54,50,500,cafe
25,38,2000,art
57,11,10000,fine dining
43,18,5000,fine dining
45,31,1000,fine dining
28,40,3000,nature
59,19,1000,resort
64,23,500,resort
27,47,5000,cafe
55,30,5000,adventure
18,2,2000,cafe
29,42,3000,nature
33,13,500,adventure
30,29,10000,fine dining
20,41,2000,pub
19,2,5000,fine dining
21,17,5000,cafe
27,41,1000,fine dining
60,49,5000,adventure
56,13,5000,cafe
42,48,5000,fine dining
49,19,500,art
44,16,3000,art
38,26,5000,art
50,36,10000,adventure
35,50,10000,nature
26,34,500,art
64,30,2000,fine dining
56,21,1000,cafe
28,19,3000,art
60,50,5000,adventure
21,37,5000,resort
45,40,10000,nature
19,1,2000,pub
53,17,3000,cafe
40,35,5000,nature
26,25,3000,fine dining
41,46,500,cafe
59,49,5000,pub
54,16,5000,nature
20,40,2000,pub
65,21,3000,nature
61,29,500,pub
60,28,10000,cafe
24,28,10000,pub
43,49,2000,fine dining
46,16,10000,nature
20,30,3000,cafe
60,44,500,fine dining
32,17,10000,adventure
58,12,2000,fine dining
23,16,3000,fine dining
26,14,5000,fine dining
21,34,10000,art
51,49,1000,nature
35,40,2000,pub
65,21,10000,cafe
38,17,10000,cafe
39,37,3000,pub
37,34,5000,cafe
36,13,10000,fine dining
48,45,1000,nature
29,25,500,art
34,32,5000,adventure
35,40,2000,fine dining
35,18,500,adventure
37,36,3000,cafe
24,17,2000,cafe
42,41,10000,cafe
39,23,3000,nature
46,18,5000,adventure
36,47,2000,adventure
41,22,2000,pub
33,47,10000,nature
58,32,500,adventure
33,25,10000,cafe
30,27,5000,adventure
28,29,10000,fine dining
59,34,1000,art
20,11,10000,cafe
52,13,5000,nature
23,34,1000,resort
34,48,1000,resort
53,10,1000,pub
52,47,2000,resort
28,31,3000,adventure
18,2,500,pub
30,14,5000,art
18,2,10000,art
38,28,500,nature
31,23,10000,resort
54,44,2000,cafe
35,46,10000,pub
54,42,500,cafe
21,15,10000,cafe
55,31,1000,cafe
46,23,3000,cafe
21,50,3000,cafe
21,36,10000,cafe
55,39,500,cafe
51,39,2000,pub
19,2,1000,pub
55,33,500,nature
64,18,5000,fine dining
64,26,1000,resort
51,18,500,pub
43,22,5000,art
40,35,5000,pub
41,24,3000,art
58,41,500,resort
38,42,1000,cafe
43,24,1000,cafe
41,41,10000,pub
22,31,5000,fine dining
49,49,500,cafe
58,23,500,nature
22,29,500,adventure
20,50,3000,resort
52,49,500,art
61,21,3000,adventure
20,36,5000,cafe
54,44,3000,pub
32,46,2000,art
55,21,500,pub
44,39,3000,art
31,50,2000,adventure
26,23,5000,art
43,23,5000,adventure
62,43,2000,adventure
22,33,500,cafe
56,25,3000,cafe
28,11,3000,cafe
60,27,1000,pub
39,45,2000,adventure
31,27,2000,cafe
45,17,1000,art
52,28,1000,cafe
41,40,500,fine dining
45,13,500,fine dining
63,40,10000,pub
25,35,10000,cafe
39,13,2000,cafe
28,49,2000,cafe
60,23,1000,pub
52,47,10000,cafe
56,19,10000,resort
18,2,500,cafe
22,28,5000,cafe
39,33,5000,adventure
59,24,5000,fine dining
55,19,1000,art
57,35,500,adventure
48,32,10000,cafe
37,30,3000,art
63,15,2000,resort
49,43,500,nature
46,27,10000,adventure
42,15,5000,cafe
33,33,2000,nature
39,20,5000,art
56,15,5000,resort
38,30,5000,nature
22,31,1000,cafe
48,32,2000,cafe
58,21,1000,adventure
46,13,2000,art
64,20,2000,resort
38,10,5000,pub
33,38,3000,adventure
42,24,3000,nature
60,46,500,nature
28,42,3000,nature
27,43,10000,cafe
36,20,500,fine dining
59,26,3000,fine dining
53,34,3000,adventure
26,23,2000,fine dining
48,18,5000,fine dining
42,12,10000,nature
32,14,500,cafe
28,21,2000,cafe
60,17,500,adventure
20,19,2000,nature
52,34,3000,nature
48,38,3000,cafe
48,27,500,adventure
32,28,5000,nature
51,30,500,cafe
37,48,5000,cafe
47,15,2000,fine dining
52,30,500,resort
43,40,5000,cafe
59,33,5000,cafe
48,30,3000,adventure
52,44,2000,nature
22,36,5000,nature
28,36,1000,nature
31,42,1000,adventure
50,21,2000,pub
30,32,1000,cafe
34,32,10000,fine dining
42,26,3000,cafe
45,41,500,fine dining
42,20,10000,cafe
20,32,10000,adventure
62,13,5000,art
54,21,10000,resort
38,47,500,cafe
19,1,10000,cafe
40,13,5000,pub
30,17,10000,pub
37,14,3000,pub
41,28,5000,art
29,45,2000,resort
52,30,3000,cafe
54,13,500,cafe
51,33,500,cafe
48,47,1000,nature
51,36,3000,cafe
52,24,500,adventure
53,11,3000,nature
19,1,500,art
18,2,1000,cafe
51,47,5000,adventure
48,32,500,adventure
62,44,3000,resort
31,26,5000,nature
65,21,3000,adventure
45,26,3000,adventure
32,38,1000,pub
35,15,10000,cafe
24,38,1000,cafe
24,43,1000,resort
35,20,1000,resort
31,32,3000,pub
47,17,5000,cafe
50,17,2000,cafe
43,42,500,fine dining
48,31,2000,cafe
52,45,5000,adventure
21,45,5000,cafe
42,37,5000,nature
44,14,2000,art
23,15,10000,fine dining
59,29,1000,cafe
35,30,2000,fine dining
33,38,500,nature
59,15,3000,fine dining
55,14,10000,art
30,22,5000,resort
28,30,10000,nature
52,23,1000,adventure
63,41,5000,pub
61,15,500,cafe
27,45,2000,pub
31,12,1000,pub
43,10,3000,pub
33,23,5000,cafe
52,35,500,cafe
64,34,3000,art
64,13,1000,cafe
50,26,1000,adventure
62,18,500,adventure
23,16,5000,pub
29,34,5000,adventure
22,35,5000,resort
62,18,1000,art
65,15,1000,cafe
56,46,2000,resort
65,10,5000,cafe
30,25,5000,adventure
34,25,500,nature
47,17,500,adventure
19,2,1000,cafe
53,16,5000,pub
50,10,5000,art
35,21,500,nature
37,40,500,cafe
64,27,3000,cafe
20,17,1000,art
34,23,500,resort
45,31,10000,adventure
65,11,1000,resort
57,45,10000,art
51,19,2000,nature
43,41,5000,pub
34,22,5000,art
50,32,10000,pub
65,43,500,adventure
54,41,2000,fine dining
29,14,500,resort
50,10,2000,resort
33,40,5000,cafe
25,11,500,nature
32,50,3000,resort
53,50,5000,art
34,16,1000,cafe
20,40,5000,fine dining
36,12,5000,fine dining
39,43,5000,resort
22,36,10000,resort
46,24,10000,resort
64,32,1000,resort
37,39,5000,resort
33,10,500,art
38,31,2000,cafe
19,2,500,cafe
44,10,500,nature
28,20,500,adventure
40,26,3000,pub
33,20,500,cafe
65,44,5000,adventure
44,26,3000,nature
40,28,3000,art
63,37,5000,cafe
21,46,10000,art
36,33,5000,pub
52,17,10000,fine dining
43,38,1000,adventure
42,14,1000,cafe
45,48,10000,art
47,44,10000,resort
25,31,3000,cafe
21,27,5000,resort
33,36,5000,resort
49,14,5000,fine dining
26,34,3000,cafe
48,24,2000,resort
60,42,3000,resort
35,24,5000,art
61,26,1000,pub
41,19,5000,cafe
34,47,2000,resort
23,11,10000,nature
40,13,3000,adventure
49,49,1000,fine dining
65,39,10000,cafe
53,38,500,pub
30,27,2000,fine dining
28,18,3000,cafe
23,44,2000,resort
37,23,10000,adventure
48,46,10000,pub
28,50,1000,cafe
46,40,1000,adventure
35,46,2000,cafe
42,16,2000,nature
20,29,10000,resort
43,50,5000,nature
34,13,5000,resort
33,21,5000,nature
21,24,10000,art
38,30,500,pub
62,48,5000,adventure
24,17,2000,art
31,21,3000,art
60,16,500,cafe
42,12,5000,art
50,48,5000,pub
49,46,1000,fine dining
46,17,5000,fine dining
40,22,1000,pub
46,15,2000,fine dining
49,25,5000,fine dining
29,37,1000,pub
61,41,3000,pub
61,23,1000,adventure
63,22,3000,fine dining
60,12,2000,fine dining
64,21,5000,nature
48,36,500,adventure
41,23,10000,adventure
61,48,1000,cafe
30,14,1000,cafe
37,31,3000,resort
46,42,500,art
20,26,5000,nature
41,15,5000,nature
55,40,1000,resort
58,37,10000,resort
60,18,1000,resort
23,42,2000,cafe
26,29,1000,fine dining
29,38,1000,cafe
24,25,3000,fine dining
64,30,2000,art
60,37,1000,cafe
38,36,500,pub
31,46,500,nature
53,16,500,nature
24,37,500,resort
49,30,3000,art
51,37,500,cafe
55,21,3000,nature
63,25,2000,resort
47,31,5000,adventure
46,11,500,nature
58,14,10000,art
43,32,10000,pub
65,30,2000,cafe
30,20,5000,fine dining
33,25,2000,nature
27,28,3000,art
18,2,3000,cafe
24,28,5000,resort
42,23,10000,cafe
55,17,3000,fine dining
65,41,5000,adventure
62,35,10000,nature
53,22,3000,pub
30,19,5000,cafe
27,29,10000,resort
27,16,500,fine dining
41,20,1000,adventure
21,28,500,cafe
58,22,10000,nature
44,13,10000,resort
51,19,10000,nature
52,36,5000,art
46,35,1000,fine dining
31,41,5000,pub
18,1,2000,adventure
33,21,1000,cafe
19,1,10000,art
45,41,3000,nature
21,23,5000,cafe
44,20,3000,cafe
38,26,5000,cafe
21,23,2000,fine dining
50,31,5000,cafe
38,34,5000,resort
29,32,10000,fine dining
42,18,2000,art
50,24,10000,cafe
20,35,2000,cafe
33,41,5000,cafe
39,13,500,cafe
36,18,3000,adventure
55,40,2000,nature
32,50,1000,adventure
43,43,10000,adventure
45,43,1000,fine dining
25,49,1000,resort
44,45,1000,pub
45,16,500,nature
30,29,3000,pub
60,45,2000,fine dining
36,37,10000,cafe
63,10,5000,cafe
61,21,500,pub
32,48,2000,art
20,29,500,cafe
32,16,500,fine dining
59,40,1000,cafe
53,21,5000,pub
40,21,500,adventure
50,33,2000,cafe
47,33,3000,cafe
31,33,2000,nature
62,35,500,pub
41,37,5000,pub
52,26,10000,resort
32,40,2000,pub
61,23,2000,art
59,27,500,cafe
57,35,10000,resort
55,38,2000,resort
32,41,5000,cafe
61,37,2000,nature
61,23,10000,pub
53,33,1000,fine dining
20,26,5000,art
58,26,3000,art
57,31,5000,art
46,41,1000,adventure
39,41,5000,fine dining
21,45,5000,adventure
53,20,3000,cafe
55,31,5000,cafe
35,28,1000,cafe
45,27,3000,cafe
50,12,10000,cafe
32,11,2000,fine dining
41,28,1000,pub
21,39,3000,pub
32,28,5000,adventure
52,43,10000,cafe
20,31,2000,cafe
50,33,3000,cafe
50,16,3000,cafe
18,2,500,nature
28,13,2000,cafe
62,38,10000,cafe
46,18,5000,nature
21,31,1000,adventure
38,32,500,cafe
58,25,5000,fine dining
21,35,2000,cafe
32,46,2000,cafe
32,23,1000,fine dining
55,18,2000,pub
48,14,5000,cafe
49,16,500,resort
44,45,3000,cafe
42,38,10000,pub
42,30,500,adventure
33,35,500,nature
22,24,2000,cafe
59,10,1000,fine dining
42,16,5000,cafe
53,37,500,cafe
21,47,1000,cafe
37,25,2000,fine dining
33,24,500,adventure
44,39,1000,adventure
60,30,10000,cafe
49,21,500,cafe
22,43,3000,fine dining
19,2,3000,cafe
51,24,5000,fine dining
41,33,1000,art
32,25,3000,fine dining
48,32,1000,cafe
26,44,1000,nature
30,42,2000,cafe
49,10,3000,nature
40,41,3000,nature
27,31,1000,nature
57,22,5000,resort
25,39,10000,cafe
39,44,5000,pub
62,42,3000,adventure
48,17,5000,cafe
22,36,2000,cafe
19,2,2000,fine dining
43,36,500,resort
38,29,1000,resort
26,18,2000,resort
56,29,5000,resort
58,14,2000,cafe
53,24,1000,cafe
54,11,500,cafe
37,17,1000,resort
24,43,5000,pub
42,28,1000,art
37,8,2000,café
40,38,2000,nature
45,35,5000,café
23,17,500,fine dining
34,32,5000,resort
46,49,3000,nature
22,43,500,art
53,7,1000,nature
33,35,5000,nature
44,49,500,resort
51,47,500,nature
45,33,10000,resort
31,42,500,art
41,36,500,café
35,20,3000,café
31,11,1000,café
56,9,10000,nature
39,23,10000,café
53,16,5000,pub
42,10,5000,café
46,9,500,art
45,15,500,café
40,29,5000,adventure
43,42,10000,pub
46,48,1000,pub
48,36,5000,resort
32,5,500,fine dining
58,14,5000,fine dining
45,45,3000,fine dining
27,15,10000,café
42,35,3000,art
23,4,5000,café
51,6,1000,fine dining
44,34,1000,café
49,7,500,adventure
53,40,10000,art
34,38,1000,art
58,9,10000,adventure
21,8,10000,nature
27,31,1000,nature
36,27,10000,café
26,34,1000,café
44,36,500,nature
52,11,500,art
47,22,1000,art
36,31,2000,adventure
55,37,500,café
44,22,10000,fine dining
27,35,10000,café
38,14,1000,resort
38,27,3000,art
27,23,500,resort
21,14,10000,pub
45,24,500,café
40,7,5000,café
53,46,10000,resort
21,10,5000,adventure
30,26,5000,nature
48,5,2000,café
50,37,2000,fine dining
31,43,1000,resort
23,14,500,café
55,40,2000,adventure
28,44,1000,resort
33,30,500,nature
56,5,500,pub
55,15,2000,café
42,48,2000,art
55,15,10000,art
37,25,10000,café
27,30,3000,resort
24,18,500,café
49,44,10000,pub
24,24,500,pub
32,44,2000,art
22,42,2000,nature
31,39,5000,café
32,31,1000,pub
37,12,3000,café
48,43,5000,art
45,7,3000,fine dining
41,49,1000,adventure
30,30,10000,nature
33,40,1000,resort
45,48,10000,art
43,36,1000,fine dining
32,41,1000,art
50,5,1000,pub
56,34,5000,pub
54,45,5000,resort
35,40,10000,nature
55,6,5000,adventure
31,30,500,fine dining
33,9,5000,fine dining
21,44,2000,resort
38,30,5000,art
57,49,3000,art
21,29,2000,café
48,30,1000,art
54,31,1000,pub
46,34,3000,resort
56,30,5000,café
25,7,1000,adventure
55,28,500,resort
25,5,3000,resort
47,37,1000,café
33,42,3000,art
53,41,2000,nature
41,35,2000,art
51,18,5000,resort
23,44,5000,café
27,32,10000,pub
46,21,3000,art
23,11,3000,fine dining
41,25,500,adventure
22,50,3000,café
29,49,5000,fine dining
40,41,3000,resort
45,49,10000,café
27,11,5000,pub
38,9,3000,fine dining
43,16,1000,nature
58,7,500,fine dining
52,4,5000,resort
43,18,2000,nature
54,17,10000,art
40,14,500,resort
37,11,3000,pub
49,43,1000,adventure
52,42,500,fine dining
27,35,10000,café
49,27,500,art
23,45,2000,resort
25,50,1000,nature
25,50,2000,pub
52,30,5000,adventure
26,21,10000,pub
47,7,10000,nature
58,34,1000,pub
48,43,3000,café
21,44,10000,café
53,16,5000,fine dining
36,26,3000,nature
51,39,3000,nature
57,40,5000,resort
42,8,1000,pub
39,36,3000,art
55,5,10000,adventure
48,34,1000,art
41,17,10000,café
36,25,500,pub
21,24,2000,art
45,12,2000,café
25,22,5000,pub
28,33,3000,adventure
38,28,1000,pub
46,24,500,café
48,43,2000,pub
31,45,5000,fine dining
50,31,3000,art
36,48,10000,pub
26,9,5000,resort
39,17,3000,adventure
55,17,1000,café
48,48,10000,resort
25,15,1000,resort
50,42,500,fine dining
57,11,3000,café
57,12,500,nature
30,45,10000,nature
37,40,5000,nature
36,32,2000,café
26,4,2000,adventure
42,16,3000,adventure
29,9,500,fine dining
53,23,5000,art
52,8,3000,art
57,26,500,adventure
44,48,10000,nature
31,44,1000,nature
35,19,500,fine dining
24,18,3000,fine dining
39,30,5000,café
36,24,1000,art
37,4,5000,nature
30,42,10000,adventure
50,32,5000,resort
29,40,5000,pub
52,45,1000,resort
29,7,5000,nature
45,38,10000,café
54,14,500,resort
44,44,2000,café
34,42,1000,pub
43,41,3000,resort
25,31,10000,art
21,35,500,resort
47,31,2000,art
21,20,3000,nature
52,35,3000,pub
47,13,2000,nature
42,41,500,pub
21,47,3000,fine dining
52,9,3000,fine dining
30,28,10000,café
46,37,5000,fine dining
47,44,3000,pub
47,17,3000,nature
21,50,5000,nature
56,47,5000,fine dining
55,39,10000,fine dining
27,40,3000,café
46,37,1000,fine dining
58,48,10000,fine dining
31,44,1000,pub
58,12,10000,café
45,29,3000,fine dining
48,46,3000,café
51,21,10000,adventure
47,18,3000,resort
51,5,5000,art
31,29,1000,adventure
40,12,5000,adventure
44,35,10000,café
49,27,5000,nature
41,31,3000,pub
52,4,2000,nature
55,5,10000,nature
44,7,2000,fine dining
35,7,10000,adventure
50,24,5000,nature
46,8,500,resort
26,9,5000,art
58,34,3000,nature
37,45,10000,adventure
46,9,1000,adventure
53,32,3000,nature
30,31,5000,fine dining
35,30,1000,pub
52,18,500,café
38,43,2000,adventure
44,41,5000,pub
38,45,2000,nature
24,13,500,art
58,21,10000,pub
53,28,2000,art
54,12,10000,art
58,14,10000,adventure
45,29,10000,resort
30,16,5000,art
35,22,2000,pub
50,41,5000,café
27,11,5000,fine dining
24,25,3000,adventure
53,8,5000,art
48,24,3000,fine dining
41,44,2000,pub
31,17,2000,nature
52,37,3000,pub
27,36,10000,pub
43,23,1000,nature
37,15,500,nature
47,17,10000,art
49,40,2000,resort
44,7,10000,fine dining
53,7,10000,resort
56,33,500,pub
58,34,5000,adventure
43,37,3000,art
34,18,2000,pub
40,11,1000,pub
56,22,500,pub
44,18,500,fine dining
45,42,5000,adventure
49,18,2000,art
55,36,10000,pub
29,25,500,resort
58,23,3000,café
58,44,2000,art
24,44,2000,nature
56,40,3000,nature
44,23,10000,art
21,26,1000,nature
31,33,5000,fine dining
30,22,10000,adventure
57,34,500,adventure
55,19,5000,adventure
37,47,2000,fine dining
34,31,500,café
33,46,2000,fine dining
46,42,5000,resort
56,18,5000,pub
26,6,2000,resort
25,26,1000,fine dining
44,47,5000,café
37,26,500,pub
49,6,500,art
36,11,500,art
25,14,3000,pub
22,15,3000,nature
23,15,3000,pub
42,39,5000,nature
31,27,1000,fine dining
49,4,2000,resort
58,10,1000,art
22,42,10000,adventure
51,36,1000,café
43,25,3000,café
35,28,10000,fine dining
56,14,2000,adventure
51,11,500,nature
44,7,5000,art
51,25,5000,resort
57,29,10000,adventure
23,41,1000,pub
35,8,2000,art
54,30,2000,café
34,25,1000,resort
55,45,500,café
57,30,2000,resort
21,21,3000,adventure
49,32,10000,adventure
36,49,5000,café
29,37,3000,resort
29,40,3000,fine dining
45,11,1000,fine dining
52,24,5000,fine dining
23,9,5000,fine dining
40,14,1000,adventure
44,23,5000,nature
30,8,2000,nature
36,15,3000,art
46,18,500,nature
50,17,10000,art
26,43,10000,fine dining
58,30,2000,art
56,48,5000,fine dining
55,5,5000,adventure
21,10,3000,café
47,49,2000,nature
58,22,5000,café
36,12,10000,adventure
23,49,1000,café
35,19,3000,fine dining
47,19,500,fine dining
56,32,3000,nature
36,8,5000,art
24,40,500,adventure
45,40,1000,nature
36,23,1000,nature
47,30,3000,fine dining
33,39,5000,resort
25,15,3000,café
28,46,5000,nature
37,36,1000,art
21,46,2000,nature
46,37,5000,adventure
35,50,1000,nature
28,5,500,nature
55,49,1000,café
24,47,10000,café
40,31,2000,pub
24,18,1000,adventure
33,34,10000,adventure
42,46,1000,café
43,12,5000,resort
52,32,10000,café
54,11,3000,pub
36,5,10000,resort
44,21,3000,nature
48,40,10000,adventure
36,23,3000,pub
56,15,10000,nature
28,48,3000,resort
33,25,3000,art
47,9,1000,pub
23,14,1000,adventure
37,50,5000,café
32,41,2000,art
27,14,10000,café
56,36,2000,adventure
27,38,1000,pub
58,22,500,resort
41,45,1000,fine dining
50,48,5000,café
40,12,5000,resort
27,23,500,café
43,41,5000,pub
21,44,3000,pub
39,13,5000,café
45,23,2000,art
49,25,5000,café
34,18,10000,fine dining
55,9,5000,art
36,32,10000,pub
30,20,5000,art
50,19,10000,art
39,46,1000,nature
25,19,10000,art
54,40,1000,art
24,40,5000,pub
44,9,500,adventure
40,48,500,café
27,48,1000,café
25,23,3000,pub
39,9,500,pub
29,31,3000,adventure
39,31,1000,fine dining
57,20,3000,fine dining
45,14,500,adventure
43,40,2000,café
43,47,500,fine dining
28,35,2000,café
44,46,3000,adventure
55,38,3000,nature
36,9,2000,resort
43,9,5000,resort
45,14,1000,resort
33,47,5000,art
39,26,1000,art
54,26,3000,adventure
45,28,500,fine dining
27,16,500,resort
30,17,3000,fine dining
52,23,500,nature
41,19,3000,resort
22,15,2000,adventure
53,11,3000,art
56,14,10000,fine dining
40,46,3000,fine dining
55,34,5000,nature
44,19,2000,café
23,15,2000,resort
57,19,2000,café
22,31,3000,café
32,33,1000,fine dining
53,37,2000,fine dining
44,46,10000,adventure
36,27,2000,adventure
46,12,500,pub
50,17,5000,café
25,21,5000,nature
29,13,3000,nature
23,39,2000,adventure
21,32,10000,pub
37,43,10000,adventure
28,6,3000,adventure
44,11,3000,art
58,46,3000,nature
22,32,3000,resort
41,8,5000,pub
49,26,1000,nature
37,35,10000,café
26,41,500,resort
43,16,3000,art
32,15,2000,art
56,47,1000,adventure
53,41,500,nature
47,36,5000,fine dining
55,48,10000,art
46,43,2000,fine dining
23,44,5000,nature
36,32,5000,nature
30,15,1000,resort
25,26,2000,café
58,45,5000,café
39,11,1000,art
34,36,10000,pub
37,42,3000,fine dining
51,13,3000,pub
51,23,500,café
54,48,2000,nature
31,19,3000,pub
45,11,500,art
26,19,10000,art
23,18,10000,nature
54,13,10000,pub
34,47,500,fine dining
43,29,3000,nature
23,27,1000,art
22,49,2000,adventure
24,44,500,nature
46,35,500,pub
30,30,500,resort
57,11,10000,adventure
30,43,500,art
47,15,3000,adventure
45,39,2000,café
44,13,1000,art
58,33,10000,resort
53,25,5000,café
34,44,500,nature
29,13,1000,resort
42,50,3000,adventure
58,18,500,art
53,33,5000,café
26,7,500,café
24,42,5000,café
26,48,500,art
23,49,1000,resort
52,45,500,café
27,48,500,nature
34,28,500,nature
35,12,1000,adventure
46,39,5000,adventure
25,32,10000,art
49,20,10000,fine dining
26,10,10000,resort
47,16,500,art
55,12,3000,resort
53,15,2000,adventure
36,42,10000,art
36,50,3000,café
53,22,5000,art
45,5,500,café
26,20,3000,resort
48,31,3000,café
58,10,5000,resort
24,45,5000,pub
46,49,1000,adventure
24,44,5000,fine dining
35,8,1000,adventure
29,44,1000,fine dining
41,35,5000,art
57,41,500,pub
41,15,10000,art
31,17,10000,art
49,13,2000,resort
37,17,3000,pub
26,30,5000,art
53,33,1000,nature
35,7,5000,fine dining
29,13,2000,art
32,16,3000,resort
30,6,3000,resort
25,19,10000,nature
56,35,3000,café
41,31,5000,nature
43,27,500,art
56,4,10000,art
27,44,3000,pub
49,50,1000,café
45,21,500,café
22,13,500,adventure
27,12,1000,resort
51,22,500,art
57,32,3000,nature
57,33,2000,resort
29,11,10000,resort
54,27,1000,nature
33,33,1000,pub
33,50,5000,resort
33,22,1000,adventure
25,13,2000,resort
25,5,2000,nature
22,41,3000,art
55,49,5000,pub
35,22,1000,adventure
33,34,3000,resort
29,27,5000,café
32,14,2000,café
50,34,3000,nature
45,20,5000,art
50,6,500,resort
37,49,10000,resort
54,12,500,nature
32,8,10000,art
27,9,10000,fine dining
40,4,10000,adventure
32,7,1000,pub
22,7,2000,pub
51,26,10000,fine dining
57,9,10000,pub
22,12,3000,fine dining
24,26,500,nature
45,47,1000,adventure
25,23,3000,art
29,14,2000,nature
33,36,2000,art
43,49,10000,pub
57,44,10000,fine dining
40,10,2000,art
29,44,500,nature
35,15,3000,adventure
22,29,3000,adventure
22,35,5000,resort
36,42,1000,art
29,25,5000,resort
25,8,2000,art
45,36,500,art
24,10,3000,nature
49,49,1000,fine dining
25,45,3000,pub
27,4,2000,fine dining
57,33,500,adventure
58,19,10000,nature
47,43,5000,resort
43,19,2000,art
25,23,2000,art
24,15,2000,pub
28,7,10000,resort
34,18,3000,resort
44,45,500,adventure
29,48,3000,pub
46,25,10000,café
54,14,3000,café
44,9,10000,pub
21,12,1000,fine dining
35,16,10000,fine dining
57,17,5000,fine dining
34,41,5000,adventure
53,14,10000,resort
32,24,3000,pub
29,17,3000,café
50,40,10000,art
31,29,5000,café
44,41,2000,nature
38,32,1000,nature
38,46,2000,café
43,7,1000,café
46,10,500,pub
46,39,3000,art
54,42,3000,pub
44,7,1000,nature
27,5,5000,café
35,37,5000,pub
48,25,10000,fine dining
57,4,10000,café
48,39,2000,art
58,34,10000,café
56,37,500,pub
24,31,1000,café
30,9,3000,café
24,41,1000,adventure
55,35,10000,adventure
21,18,5000,resort
23,43,500,pub
37,17,10000,resort
42,27,3000,adventure
39,46,3000,resort
32,10,10000,café
23,22,10000,nature
21,29,2000,fine dining
46,15,1000,café
31,34,5000,adventure
47,12,10000,café
26,43,10000,pub
47,33,500,nature
38,32,10000,café
35,21,10000,resort
46,11,10000,adventure
36,38,1000,pub
32,27,10000,adventure
29,36,10000,café
42,29,1000,adventure
46,40,2000,fine dining
21,17,3000,adventure
53,16,1000,nature
26,15,10000,fine dining
39,44,2000,art
24,4,3000,nature
34,19,10000,adventure
40,8,2000,adventure
23,34,5000,resort
50,36,5000,resort
58,41,10000,nature
38,33,2000,resort
34,31,5000,nature
38,48,5000,café
55,40,2000,café
30,23,500,pub
51,20,10000,adventure
27,20,2000,art
27,23,500,café
30,34,5000,café
24,8,10000,fine dining
33,38,10000,nature
52,11,500,adventure
46,7,500,pub
21,34,1000,nature
36,21,5000,pub
49,34,2000,adventure
56,35,10000,art
26,32,2000,adventure
43,11,1000,adventure
35,34,500,nature
57,31,1000,nature
29,39,5000,pub
25,43,500,café
28,42,10000,art
22,39,1000,pub
26,23,500,adventure
44,20,1000,pub
53,11,3000,pub
42,36,1000,pub
47,17,3000,fine dining
36,23,500,art
24,42,2000,art
32,44,5000,pub
47,18,500,nature
25,40,5000,adventure
43,19,3000,café
26,40,5000,café
51,33,3000,art
27,18,3000,fine dining
33,43,5000,resort
35,42,500,art
28,12,1000,resort
21,32,10000,art
38,18,2000,pub
50,42,500,nature
44,46,500,pub
52,28,2000,resort
23,28,500,café
40,29,500,resort
36,45,5000,nature
29,31,5000,pub
43,17,1000,pub
56,33,3000,fine dining
27,19,500,adventure
39,34,5000,nature
25,20,500,resort
56,43,2000,art
23,39,5000,pub
55,36,2000,pub
26,29,2000,pub
28,47,2000,fine dining
53,16,3000,nature
44,22,500,nature
35,39,5000,fine dining
21,19,1000,café
58,11,500,fine dining
29,29,3000,fine dining
53,17,2000,adventure
52,18,2000,resort
53,33,10000,fine dining
47,38,2000,resort
30,23,500,fine dining
26,40,10000,art
